64682,The Great Gatsby
77877,The Lucky One
28,Apocalypse Now
536176,Brexit: The Uncivil War
13697,Grand Canyon
465136,Every Day
302946,The Accountant
419478,Midnight Sun
39254,Real Steel
37799,The Social Network
467952,The Catcher Was a Spy
372343,The Snowman
68724,Elysium
72570,The Vow
384680,Hostiles
496274,The Thinning: New World Order
13223,Gran Torino
23168,The Town
462919,Sierra Burgess Is a Loser
261470,Sorry If I Call You Love
395990,Death Wish
185,A Clockwork Orange
400617,Phantom Thread
9339,Click
73,American History X
171274,Inherent Vice
146233,Prisoners
293863,The Age of Adaline
19404,Dilwale Dulhania Le Jayenge
76203,12 Years a Slave
1585,It's a Wonderful Life
652,Troy
538026,Thirudathey Papa Thirudathey
629,The Usual Suspects
787,Mr. & Mrs. Smith
97367,The Place Beyond the Pines
314365,Spotlight
413362,Roman J. Israel, Esq.
347984,6 Days
64690,Drive
399905,Female War: A Nasty Deal
2503,The Bourne Ultimatum
137094,Jack Ryan: Shadow Recruit
168672,American Hustle
34584,The NeverEnding Story
201088,Blackhat
2108,The Breakfast Club
339988,The Circle
443463,Leave No Trace
37165,The Truman Show
4148,Revolutionary Road
508,Love Actually
289,Casablanca
86834,Noah
258480,Carol
1374,Rocky IV
1402,The Pursuit of Happyness
241554,Run All Night
376867,Moonlight
122906,About Time
1443,The Virgin Suicides
437586,Mid90s
12405,Slumdog Millionaire
2501,The Bourne Identity
85350,Boyhood
395992,Life
416477,The Big Sick
295011,Patient Zero
31011,Mr. Nobody
418827,Sister's Younger Husband
154400,The Drop
318846,The Big Short
10734,Escape from Alcatraz
345920,Collateral Beauty
124905,Godzilla
3035,Frankenstein
2034,Training Day
828,The Day the Earth Stood Still
28178,Hachi: A Dog's Tale
184125,Assault on Wall Street
153,Lost in Translation
554600,Uri: The Surgical Strike
249397,Nymphomaniac: Vol. II
1371,Rocky III
400710,Flatliners
365942,The Space Between Us
449924,Ip Man 4
205587,The Judge
65,8 Mile
11778,The Deer Hunter
339380,On the Basis of Sex
3170,Bambi
152532,Dallas Buyers Club
274870,Passengers
2675,Signs
15070,Undisputed
507419,Inba Twinkle Lilly
41233,Step Up 3D
470878,I Can Only Imagine
